Purpose,Name,Description,Beschreibung
amenities,ACC5,Beach,Strand
amenities,ACC14,Church,Kirche
amenities,ACC24,Hospital,Krankenhaus
amenities,ACC25,Lake,See
amenities,ACC27,Library,Bücherei
amenities,ACC28,Marina,Jachthafen
amenities,ACC29,Market,Markt
amenities,ACC31,Mountain,Berg
amenities,ACC32,Museum,Museum
amenities,ACC33,Ocean,Ozean
amenities,ACC39,Recreation center,Erholungszentrum
amenities,ACC40,Resort,Urlaubsort
amenities,ACC41,Restaurant,Restaurant
amenities,ACC42,River,Fluss
amenities,ACC45,Ski area,Ski-Bereich
amenities,ACC47,Store,Laden
amenities,ACC50,Movie Theater,Kino
amenities,ACC54,Water park,Wasserpark
amenities,ACC55,Waterfront,Kai
amenities,ACC56,Winery,Kellerei
amenities,ACC57,Zoo,Zoo
amenities,ACC59,Festival,Festival
amenities,ACC73,Bar,Bar
amenities,ACC74,Bay,Bucht
amenities,ACC82,Synagogue,Synagoge
amenities,ACC90,Botanical garden,Botanischer Garten
amenities,ACC95,Natural attraction,natürliche Attraktion
amenities,ACC111,Arboretum,Baumgarten
amenities,ACC112,Autumn foliage,Herbstlaub
amenities,ACC113,Cave,Höhle
amenities,ACC114,Duty Free,zollfrei
amenities,ACC115,Nude beach,FKK
amenities,ACC116,Rain forest,Regenwald
amenities,ACC117,Reef,Riff
amenities,ACC118,Ruins,Ruinen
amenities,ACC119,Outdoor lanai gazebo covered,Pavillon (überdacht)
amenities,ACC120,Volcano,Vulkan
amenities,ACC123,Rural,ländlich
amenities,HAC1,24 Hour Reception Desk,Rezeption 24-Stunden
amenities,HAC5,Air conditioning,Klimaanlage
amenities,HAC7,ATM/Cash machine,Geldautomat
amenities,HAC8,Baby sitting,Babysitter
amenities,HAC9,BBQ/Picnic area,Grill-/Picknickbereich
amenities,HAC14,Business library,Geschäftsbibliothek
amenities,HAC15,Car rental desk,Autovermietung
amenities,HAC16,Casino,Kasino
amenities,HAC21,Coin operated laundry,Münzwäscherei
amenities,HAC22,Concierge desk,Concierge-Schalter
amenities,HAC25,Courtyard,Hof
amenities,HAC26,Currency exchange,Geldwechsel
amenities,HAC29,Door man,Türsteher
amenities,HAC32,Duty free shop,zollfreies Einkaufen
amenities,HAC33,Elevators,Aufzüge
amenities,HAC34,Executive floor,Chefetage
amenities,HAC36,Express check-in,Express-Check-in
amenities,HAC37,Express check-out,Express-Check-out
amenities,HAC41,Free airport shuttle,kostenfreies Flughafen-Shuttle
amenities,HAC42,Free parking,kostenfreies Parken
amenities,HAC44,Game room,Spielzimmer
amenities,HAC45,Gift/News stand,Geschenk-/Zeitungsstand
amenities,HAC49,Heated pool,beheizter Pool
